i,j,k,l,result
5,"('age', 'children', 'sex_female', 'smoker_no', 'region_northeast')",1,6,0.7712081485897423
5,"('age', 'children', 'sex_female', 'smoker_no', 'region_northwest')",1,6,0.7582965223213224
5,"('age', 'children', 'sex_female', 'smoker_no', 'region_southeast')",1,6,0.7713344613955576
5,"('age', 'children', 'sex_female', 'smoker_no', 'region_southwest')",1,6,0.7665940739320901
5,"('age', 'children', 'sex_female', 'region_northeast', 'region_northwest')",1,6,0.060839542496354704
5,"('age', 'children', 'sex_female', 'region_northeast', 'region_southeast')",1,6,0.065209636160236
5,"('age', 'children', 'sex_female', 'region_northeast', 'region_southwest')",1,6,0.06807184544371692
5,"('age', 'children', 'sex_female', 'region_northwest', 'region_southeast')",1,6,0.06620353765945375
5,"('age', 'children', 'sex_female', 'region_northwest', 'region_southwest')",1,6,0.07155901589252944
5,"('age', 'children', 'sex_female', 'region_southeast', 'region_southwest')",1,6,0.06501702033252821
5,"('age', 'children', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.7676141141955186
5,"('age', 'children', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.7755233565371102
5,"('age', 'children', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.7740345680184976
5,"('age', 'children', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.7654934552198773
5,"('age', 'children', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.7624484262340919
5,"('age', 'children', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.7717163452205648
5,"('age', 'children', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.07352682854856984
5,"('age', 'children', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.07352682854856962
5,"('age', 'children', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.07352682854856984
5,"('age', 'children', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.07352682854856984
5,"('age', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.7636289584788796
5,"('age', 'sex_female', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.7737220820063702
5,"('age', 'sex_female', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.7697745792221315
5,"('age', 'sex_female', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.7628615276852935
5,"('age', 'sex_female', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.7576076111497699
